method	quality	guarantee	nb_patterns	timespent	timeInitialize	precision	recall	fscore	globality	crispiness	size_pattern_set
RefineAndMine	0.5180555555555556	0.7880952380952381	4135	0.19547700881958008	0.007784128189086914	1.0	0.5779794546090987	0.7325563750793921	0.11214953271028037	0.2827102803738318	413
RefineAndMine	0.5180555555555556	0.7533730158730159	4979	0.24322509765625	0.007784128189086914	1.0	0.5785433643835349	0.7330091493678695	0.11214953271028037	0.23130841121495327	836
RefineAndMine	0.6259920634920635	0.7533730158730159	5816	0.2873349189758301	0.007784128189086914	1.0	0.6794315081660908	0.8091208303076531	0.09345794392523364	0.23130841121495327	836
RefineAndMine	0.6259920634920635	0.7533730158730159	7050	0.3505275249481201	0.007784128189086914	1.0	0.6874683988116771	0.814792619874595	0.09345794392523364	0.205607476635514	1232
RefineAndMine	0.6259920634920635	0.7456349206349207	9403	0.45789003372192383	0.007784128189086914	1.0	0.6923926412359195	0.8182411390423907	0.09345794392523364	0.20327102803738317	2353
RefineAndMine	0.6259920634920635	0.7386904761904762	10232	0.5077130794525146	0.007784128189086914	1.0	0.6923926412359195	0.8182411390423907	0.09345794392523364	0.20327102803738317	829
RefineAndMine	0.6904761904761905	0.7386904761904762	12220	0.5923647880554199	0.007784128189086914	1.0	0.739327928840213	0.8501305781172596	0.09345794392523364	0.20327102803738317	1988
RefineAndMine	0.7047619047619048	0.7386904761904762	13355	0.6538348197937012	0.007784128189086914	1.0	0.7444907195378875	0.853533597169381	0.09345794392523364	0.20327102803738317	1135
RefineAndMine	0.7047619047619048	0.7386904761904762	16086	0.778144121170044	0.007784128189086914	1.0	0.7467984118455797	0.8550481919164901	0.09345794392523364	0.20093457943925233	2730
RefineAndMine	0.7047619047619048	0.7386904761904762	18420	0.8871626853942871	0.007784128189086914	1.0	0.7485480017854377	0.8561938259871588	0.08411214953271028	0.20093457943925233	2334
RefineAndMine	0.719047619047619	0.7386904761904762	20845	0.949094295501709	0.007784128189086914	1.0	0.76244304251971	0.8652115547855309	0.08411214953271028	0.20093457943925233	2425
RefineAndMine	0.7259920634920635	0.7386904761904762	23012	1.011768102645874	0.007784128189086914	1.0	0.7653007484716217	0.8670485741698243	0.0794392523364486	0.20093457943925233	2167
RefineAndMine	0.7259920634920635	0.7259920634920635	25159	1.123291015625	0.007784128189086914	1.0	0.7704779441572919	0.8703615277444443	0.06074766355140187	0.20093457943925233	2137
RefineAndMine	0.7259920634920635	0.7259920634920635	26151	1.1420536041259766	0.007784128189086914	1.0	0.7704779441572919	0.8703615277444443	0.06074766355140187	0.20093457943925233	975
