method	quality	guarantee	nb_patterns	timespent_full	timeInitialize	timespent	timePostProcessing	recall	size_pattern_set
RefineAndMine	0.06185553554180697	0.08109701447081037	12635	0.7287464141845703	0.03815102577209473	0.5514955520629883	0.1390998363494873	0.6705621720981221	10
RefineAndMine	0.06185553554180697	0.07968517503328372	13753	0.7984962463378906	0.03815102577209473	0.6013844013214111	0.15896081924438477	0.6705621720981221	10
RefineAndMine	0.06185553554180697	0.07708556312597349	15444	0.8704795837402344	0.03815102577209473	0.6717655658721924	0.16056299209594727	0.7015377818542196	10
RefineAndMine	0.06185553554180697	0.07546270916542668	17454	0.9633967876434326	0.03815102577209473	0.7503817081451416	0.1748640537261963	0.7015377818542196	10
RefineAndMine	0.06185553554180697	0.07484706885599673	19587	1.056405782699585	0.03815102577209473	0.8321888446807861	0.1860659122467041	0.7015377818542196	10
RefineAndMine	0.06185553554180697	0.07433149728944231	21278	1.170022964477539	0.03815102577209473	0.917238712310791	0.21463322639465332	0.7015377818542196	10
RefineAndMine	0.06185553554180697	0.0737898208334421	23105	1.2686386108398438	0.03815102577209473	0.9942326545715332	0.23625493049621582	0.7015377818542196	10
RefineAndMine	0.06185553554180697	0.07343087860356244	24941	1.3609249591827393	0.03815102577209473	1.0718419551849365	0.250931978225708	0.7015377818542196	10
RefineAndMine	0.06185553554180697	0.07313502318984344	26036	1.4352996349334717	0.03815102577209473	1.1303927898406982	0.2667558193206787	0.7015377818542196	10
RefineAndMine	0.06376989410116514	0.07198640805422855	28104	1.5635621547698975	0.03815102577209473	1.2222199440002441	0.3031911849975586	0.719713917173212	10
RefineAndMine	0.06376989410116514	0.07108578936834868	30417	1.6779072284698486	0.03815102577209473	1.3173069953918457	0.3224492073059082	0.719713917173212	10
RefineAndMine	0.06376989410116514	0.07033744920423594	32387	1.7919590473175049	0.03815102577209473	1.404217004776001	0.3495910167694092	0.719713917173212	10
RefineAndMine	0.06376989410116514	0.069804474378051	34242	1.900191068649292	0.03815102577209473	1.4844799041748047	0.3775601387023926	0.719713917173212	10
RefineAndMine	0.06458132108143856	0.069804474378051	35579	1.9701037406921387	0.03815102577209473	1.5262367725372314	0.4057159423828125	0.7201220804385182	10
